CMDLINE python3 python_programs/Canonical_solutions/maximum_xor_product.py
MEM 10.468750 1745203086.5068
MEM 10.468750 1745203086.5277
MEM 10.468750 1745203086.5489
MEM 10.468750 1745203086.5704
MEM 10.468750 1745203086.5914
MEM 10.468750 1745203086.6128
MEM 10.468750 1745203086.6333
MEM 10.468750 1745203086.6539
MEM 10.468750 1745203086.6750
MEM 10.468750 1745203086.6972
MEM 10.468750 1745203086.7189
MEM 10.468750 1745203086.7401
MEM 10.468750 1745203086.7605
MEM 10.468750 1745203086.7813
MEM 10.468750 1745203086.8026
MEM 10.468750 1745203086.8243
MEM 10.468750 1745203086.8452
MEM 10.468750 1745203086.8665
MEM 10.468750 1745203086.8872
MEM 10.468750 1745203086.9088
MEM 10.468750 1745203086.9254
MEM 10.468750 1745203086.9371
MEM 10.468750 1745203086.9495
MEM 10.468750 1745203086.9622
MEM 10.468750 1745203086.9739
MEM 10.468750 1745203086.9844
MEM 10.468750 1745203086.9940
MEM 10.468750 1745203087.0036
MEM 10.468750 1745203087.0136
MEM 10.468750 1745203087.0235
MEM 10.468750 1745203087.0335
MEM 10.468750 1745203087.0436
MEM 10.468750 1745203087.0538
MEM 10.468750 1745203087.0640
MEM 10.468750 1745203087.0742
MEM 10.468750 1745203087.0844
MEM 10.468750 1745203087.0947
MEM 10.468750 1745203087.1049
MEM 10.468750 1745203087.1152
MEM 10.468750 1745203087.1254
MEM 10.468750 1745203087.1355
MEM 10.468750 1745203087.1456
MEM 10.468750 1745203087.1557
MEM 10.468750 1745203087.1658
MEM 10.468750 1745203087.1758
MEM 10.468750 1745203087.1860
MEM 10.468750 1745203087.1965
MEM 10.468750 1745203087.2070
MEM 10.468750 1745203087.2173
MEM 10.468750 1745203087.2273
MEM 10.468750 1745203087.2373
MEM 10.468750 1745203087.2474
MEM 10.468750 1745203087.2574
MEM 10.468750 1745203087.2675
MEM 10.468750 1745203087.2776
MEM 10.468750 1745203087.2876
MEM 10.468750 1745203087.2978
MEM 10.468750 1745203087.3078
MEM 10.468750 1745203087.3181
MEM 10.468750 1745203087.3282
MEM 10.468750 1745203087.3382
MEM 10.468750 1745203087.3482
MEM 10.468750 1745203087.3584
MEM 10.468750 1745203087.3685
MEM 10.468750 1745203087.3785
MEM 10.468750 1745203087.3886
MEM 10.468750 1745203087.3987
MEM 10.468750 1745203087.4087
MEM 10.468750 1745203087.4190
MEM 10.468750 1745203087.4291
MEM 10.468750 1745203087.4392
MEM 10.468750 1745203087.4492
MEM 10.468750 1745203087.4605
MEM 10.468750 1745203087.4706
MEM 10.468750 1745203087.4806
MEM 10.468750 1745203087.4906
MEM 10.468750 1745203087.5007
MEM 10.468750 1745203087.5107
MEM 10.468750 1745203087.5210
MEM 10.468750 1745203087.5311
MEM 10.468750 1745203087.5412
MEM 10.468750 1745203087.5512
MEM 10.468750 1745203087.5613
MEM 10.468750 1745203087.5713
MEM 10.468750 1745203087.5813
MEM 10.468750 1745203087.5914
MEM 10.468750 1745203087.6014
MEM 10.468750 1745203087.6115
MEM 10.468750 1745203087.6217
MEM 10.468750 1745203087.6318
MEM 10.468750 1745203087.6418
MEM 10.468750 1745203087.6518
MEM 10.468750 1745203087.6619
MEM 10.468750 1745203087.6719
MEM 10.468750 1745203087.6820
MEM 10.468750 1745203087.6920
MEM 10.468750 1745203087.7021
MEM 10.468750 1745203087.7123
MEM 10.468750 1745203087.7234
MEM 10.468750 1745203087.7334
MEM 10.468750 1745203087.7435
MEM 10.468750 1745203087.7535
MEM 10.468750 1745203087.7636
MEM 10.468750 1745203087.7737
MEM 10.468750 1745203087.7838
MEM 10.468750 1745203087.7939
MEM 10.468750 1745203087.8039
MEM 10.468750 1745203087.8140
MEM 10.468750 1745203087.8242
MEM 10.468750 1745203087.8343
MEM 10.468750 1745203087.8443
MEM 10.468750 1745203087.8544
MEM 10.468750 1745203087.8645
MEM 10.468750 1745203087.8745
MEM 10.468750 1745203087.8845
