CMDLINE python3 python_programs/Canonical_solutions/the_number_of_weak_characters_in_the_game.py
MEM 29.781250 1745203087.4520
MEM 29.781250 1745203087.4631
MEM 29.781250 1745203087.4731
MEM 29.781250 1745203087.4831
MEM 29.781250 1745203087.4932
MEM 29.781250 1745203087.5033
MEM 29.781250 1745203087.5133
MEM 29.781250 1745203087.5235
MEM 29.781250 1745203087.5336
MEM 29.781250 1745203087.5437
MEM 29.781250 1745203087.5538
MEM 29.781250 1745203087.5639
MEM 29.781250 1745203087.5740
MEM 29.781250 1745203087.5840
MEM 29.781250 1745203087.5941
MEM 29.781250 1745203087.6041
MEM 29.781250 1745203087.6142
MEM 29.781250 1745203087.6244
MEM 29.781250 1745203087.6345
MEM 29.781250 1745203087.6445
MEM 29.781250 1745203087.6545
MEM 29.781250 1745203087.6646
MEM 29.781250 1745203087.6746
MEM 29.781250 1745203087.6845
MEM 29.781250 1745203087.6945
MEM 29.781250 1745203087.7046
MEM 29.781250 1745203087.7152
MEM 29.781250 1745203087.7258
MEM 29.781250 1745203087.7359
MEM 29.781250 1745203087.7459
MEM 29.781250 1745203087.7559
MEM 29.781250 1745203087.7660
MEM 29.781250 1745203087.7760
MEM 29.781250 1745203087.7861
MEM 29.781250 1745203087.7961
MEM 29.781250 1745203087.8062
MEM 29.781250 1745203087.8162
MEM 29.781250 1745203087.8264
MEM 29.781250 1745203087.8364
MEM 29.781250 1745203087.8464
MEM 29.781250 1745203087.8564
MEM 29.781250 1745203087.8665
MEM 29.781250 1745203087.8765
MEM 29.781250 1745203087.8864
MEM 29.781250 1745203087.8939
MEM 29.781250 1745203087.9019
