CMDLINE python3 python_programs/Canonical_solutions/average_height_of_buildings_in_each_segment.py
MEM 12.718750 1745203293.8441
MEM 12.718750 1745203293.8554
MEM 12.718750 1745203293.8671
MEM 12.718750 1745203293.8771
MEM 12.718750 1745203293.8871
MEM 12.718750 1745203293.8972
MEM 12.718750 1745203293.9074
MEM 12.718750 1745203293.9176
MEM 12.718750 1745203293.9279
MEM 12.718750 1745203293.9381
MEM 12.718750 1745203293.9482
MEM 12.718750 1745203293.9584
MEM 12.718750 1745203293.9686
MEM 12.718750 1745203293.9788
MEM 12.718750 1745203293.9890
MEM 12.718750 1745203293.9992
MEM 12.718750 1745203294.0094
MEM 12.718750 1745203294.0196
MEM 12.718750 1745203294.0300
MEM 12.718750 1745203294.0401
MEM 12.718750 1745203294.0503
MEM 12.718750 1745203294.0605
MEM 12.718750 1745203294.0707
MEM 12.718750 1745203294.0809
MEM 12.718750 1745203294.0911
MEM 12.718750 1745203294.1014
MEM 12.718750 1745203294.1116
MEM 12.718750 1745203294.1219
MEM 12.718750 1745203294.1321
MEM 12.718750 1745203294.1423
MEM 12.718750 1745203294.1524
MEM 12.718750 1745203294.1626
MEM 12.718750 1745203294.1728
MEM 12.718750 1745203294.1830
MEM 12.718750 1745203294.1933
MEM 12.718750 1745203294.2034
MEM 12.718750 1745203294.2137
MEM 12.718750 1745203294.2240
MEM 12.718750 1745203294.2341
MEM 12.718750 1745203294.2443
MEM 12.718750 1745203294.2545
MEM 12.718750 1745203294.2647
MEM 12.718750 1745203294.2749
MEM 12.718750 1745203294.2851
MEM 12.718750 1745203294.2952
MEM 12.718750 1745203294.3054
MEM 12.718750 1745203294.3155
MEM 12.718750 1745203294.3260
MEM 12.718750 1745203294.3361
MEM 12.718750 1745203294.3463
MEM 12.718750 1745203294.3567
MEM 12.718750 1745203294.3669
MEM 12.718750 1745203294.3772
MEM 12.718750 1745203294.3875
MEM 12.718750 1745203294.3978
MEM 12.718750 1745203294.4081
MEM 12.718750 1745203294.4183
MEM 12.718750 1745203294.4287
MEM 12.718750 1745203294.4389
MEM 12.718750 1745203294.4491
MEM 12.718750 1745203294.4594
MEM 12.718750 1745203294.4696
MEM 12.718750 1745203294.4797
MEM 12.718750 1745203294.4898
MEM 12.718750 1745203294.5000
MEM 12.718750 1745203294.5102
MEM 12.718750 1745203294.5204
MEM 12.718750 1745203294.5308
MEM 12.718750 1745203294.5410
MEM 12.718750 1745203294.5512
MEM 12.718750 1745203294.5615
MEM 12.718750 1745203294.5716
MEM 12.718750 1745203294.5818
MEM 12.718750 1745203294.5920
MEM 12.718750 1745203294.6022
MEM 12.718750 1745203294.6124
MEM 12.718750 1745203294.6226
MEM 12.718750 1745203294.6331
MEM 12.718750 1745203294.6432
MEM 12.718750 1745203294.6534
MEM 12.718750 1745203294.6636
MEM 12.718750 1745203294.6739
MEM 12.718750 1745203294.6840
MEM 12.718750 1745203294.6943
MEM 12.718750 1745203294.7044
MEM 12.718750 1745203294.7146
MEM 12.718750 1745203294.7248
MEM 12.718750 1745203294.7352
MEM 12.718750 1745203294.7454
MEM 12.718750 1745203294.7556
MEM 12.718750 1745203294.7658
MEM 12.718750 1745203294.7760
MEM 12.718750 1745203294.7865
MEM 12.718750 1745203294.7942
MEM 12.718750 1745203294.8020
